sysno,ark,name
16661383,ark:/81055/vdc_100022589134.0x000002,Miscellaneous theatres: Nottingham - Oswestry 1755-1848
16661377,ark:/81055/vdc_100022589116.0x000002,Miscellaneous theatres: Pittenweem - Sandwich 1777-1855
16661377,ark:/81055/vdc_100022589118.0x000002,Miscellaneous theatres: Pittenweem - Sandwich 1777-1855
16661378,ark:/81055/vdc_100022589110.0x000002,Miscellaneous theatres: Shepton Mallet - Shrewsbury 1791-1847
16661379,ark:/81055/vdc_100022589106.0x000002,Miscellaneous theatres: Skipton - Stirling 1797-1848
16661380,ark:/81055/vdc_100022589108.0x000002,Miscellaneous theatres: Stroud - Tullamore 1788-1848
16661380,ark:/81055/vdc_100022589122.0x000002,Miscellaneous theatres: Stroud - Tullamore 1788-1848
16661381,ark:/81055/vdc_100022589124.0x000002,Miscellaneous theatres: Waterford - Winchester 1787-1852
16661401,ark:/81055/vdc_100022589290.0x000002,Miscellaneous Tyneside and London theatres 1821-1836
16661400,ark:/81055/vdc_100022589174.0x000002,Miscellaneous Tyneside theatres 1816-1827
16661374,ark:/81055/vdc_100022589100.0x000002,Miscellaneous Wolverhampton theatres 1794-1819
16661394,ark:/81055/vdc_100022589136.0x000002,"New Theatre Royal, Hull 1810-1811"
16661324,ark:/81055/vdc_100022589022.0x000002,Old Vic Theatre 1824-1833
16661325,ark:/81055/vdc_100022589015.0x000002,Old Vic Theatre 1834-1840
16661406,ark:/81055/vdc_100022589176.0x000002,Olympic Theatre 1815-1831
16661407,ark:/81055/vdc_100022589148.0x000002,Olympic Theatre 1832-1834
16661320,ark:/81055/vdc_100022588997.0x000002,Princess's Theatre 1840-1844
16661320,ark:/81055/vdc_100022589001.0x000002,Princess's Theatre 1840-1844
16661321,ark:/81055/vdc_100022588993.0x000002,Princess's Theatre 1856-1860
16661321,ark:/81055/vdc_100022588999.0x000002,Princess's Theatre 1856-1860
16661322,ark:/81055/vdc_100022589288.0x000002,St. James Theatre 1835-1838
16661285,ark:/81055/vdc_100022589024.0x000002,"Theatre Royal, Bath 1812-1818"
16661285,ark:/81055/vdc_100022589030.0x000002,"Theatre Royal, Bath 1812-1818"
16661327,ark:/81055/vdc_100022589026.0x000002,"Theatre Royal, Bath 1824-1830"
16661327,ark:/81055/vdc_100022589032.0x000002,"Theatre Royal, Bath 1824-1830"
16661328,ark:/81055/vdc_100022589034.0x000002,"Theatre Royal, Bath 1831-1840"
16661328,ark:/81055/vdc_100022589042.0x000002,"Theatre Royal, Bath 1831-1840"
16661326,ark:/81055/vdc_100022589028.0x000002,"Theatre Royal, Bath 1834-1840"
16661326,ark:/81055/vdc_100022589048.0x000002,"Theatre Royal, Bath 1834-1840"
16661329,ark:/81055/vdc_100022589036.0x000002,"Theatre Royal, Bath 1841-1851"
16661329,ark:/81055/vdc_100022589040.0x000002,"Theatre Royal, Bath 1841-1851"
16661331,ark:/81055/vdc_100022589058.0x000002,"Theatre Royal, Birmingham 1806-1809"
16661332,ark:/81055/vdc_100022589056.0x000002,"Theatre Royal, Birmingham 1810-1812"
16661332,ark:/81055/vdc_100022589062.0x000002,"Theatre Royal, Birmingham 1810-1812"
16661333,ark:/81055/vdc_100022589052.0x000002,"Theatre Royal, Birmingham 1813-1815"
16661333,ark:/81055/vdc_100022589054.0x000002,"Theatre Royal, Birmingham 1813-1815"
16661334,ark:/81055/vdc_100022589064.0x000002,"Theatre Royal, Birmingham 1831-1835"
16661334,ark:/81055/vdc_100022589238.0x000002,"Theatre Royal, Birmingham 1831-1835"
16661336,ark:/81055/vdc_100022589044.0x000002,"Theatre Royal, Bristol 1819-1823"
16661336,ark:/81055/vdc_100022589060.0x000002,"Theatre Royal, Bristol 1819-1823"
16661337,ark:/81055/vdc_100022589088.0x000002,"Theatre Royal, Dublin 1825-1829"
16661337,ark:/81055/vdc_100022589298.0x000002,"Theatre Royal, Dublin 1825-1829"
16661338,ark:/81055/vdc_100022589066.0x000002,"Theatre Royal, Dublin 1830-1839"
16661338,ark:/81055/vdc_100022589074.0x000002,"Theatre Royal, Dublin 1830-1839"
16661412,ark:/81055/vdc_100022589180.0x000002,"Theatre Royal, Edinburgh and Theatre Royal, Perth 1825"
16661387,ark:/81055/vdc_100022589150.0x000002,"Theatre Royal, Hull 1801-1807"
16661388,ark:/81055/vdc_100022589156.0x000002,"Theatre Royal, Hull 1807-1814"
16661389,ark:/81055/vdc_100022589140.0x000002,"Theatre Royal, Hull 1815-1816"
16661390,ark:/81055/vdc_100022589142.0x000002,"Theatre Royal, Hull 1816-1817"
16661391,ark:/81055/vdc_100022589144.0x000002,"Theatre Royal, Hull 1818-1819"
16661409,ark:/81055/vdc_100022589172.0x000002,"Theatre Royal, Hull 1821-1822"
16661393,ark:/81055/vdc_100022589170.0x000002,"Theatre Royal, Hull 1822-1823"
16661410,ark:/81055/vdc_100022589168.0x000002,"Theatre Royal, Hull 1825-1826"
16661411,ark:/81055/vdc_100022589162.0x000002,"Theatre Royal, Hull 1826-1827"
16661398,ark:/81055/vdc_100022589160.0x000002,"Theatre Royal, Hull 1827-1830"
16661369,ark:/81055/vdc_100022589070.0x000002,"Theatre Royal, Liverpool 1773-1781"
16661369,ark:/81055/vdc_100022589072.0x000002,"Theatre Royal, Liverpool 1773-1781"
16661340,ark:/81055/vdc_100022589080.0x000002,"Theatre Royal, Liverpool 1820-1822"
16661340,ark:/81055/vdc_100022589086.0x000002,"Theatre Royal, Liverpool 1820-1822"
16661341,ark:/81055/vdc_100022589076.0x000002,"Theatre Royal, Liverpool 1823-1825"
16661341,ark:/81055/vdc_100022589078.0x000002,"Theatre Royal, Liverpool 1823-1825"
16661370,ark:/81055/vdc_100022589082.0x000002,"Theatre Royal, Manchester 1793-1808"
16661370,ark:/81055/vdc_100022589084.0x000002,"Theatre Royal, Manchester 1793-1808"
16661399,ark:/81055/vdc_100022589158.0x000002,"Theatre Royal, Margate 1796-1797"
16661373,ark:/81055/vdc_100022589090.0x000002,"Theatre Royal, Stafford 1796-1835"
16661373,ark:/81055/vdc_100022589098.0x000002,"Theatre Royal, Stafford 1796-1835"
16661386,ark:/81055/vdc_100022589194.0x000002,"Theatre Royal, York 1782-1849"
16661386,ark:/81055/vdc_100022589196.0x000002,"Theatre Royal, York 1782-1849"
16661385,ark:/81055/vdc_100022589126.0x000002,"Theatre, Drayton 1795-1844"
16661385,ark:/81055/vdc_100022589130.0x000002,"Theatre, Drayton 1795-1844"
16661396,ark:/81055/vdc_100022589138.0x000002,"Theatre, King's Lynn 1764-1772"
16661403,ark:/81055/vdc_100022589166.0x000002,"Theatre, Portsmouth 1781-1782"
16661413,ark:/81055/vdc_100022589164.0x000002,"Theatre, Scarborough 1784-1846"
16661402,ark:/81055/vdc_100022589182.0x000002,Windsor Castle 1849-1861 (Royal Entertainment)
