category,objective,guidance,manifest_url,image_ark
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000071
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000072
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000073
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000074
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000075
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000076
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000077
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000078
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x000079
title,Identify each title,Only the titles of plays need to be included and any mentioned in notes about upcoming or past events can be ignored.,http://api.bl.uk/metadata/iiif/ark:/81055/vdc_100022589158.0x000002/manifest.json,ark:/81055/vdc_100022589157.0x00007a
