manifest_id,name
ark:/81055/vdc_100022589084.0x000002,"Theatre Royal, Manchester 1793-1808"
ark:/81055/vdc_100022589158.0x000002,"Theatre Royal, Margate 1796-1797"
ark:/81055/vdc_100022589090.0x000002,"Theatre Royal, Stafford 1796-1835"
ark:/81055/vdc_100022589098.0x000002,"Theatre Royal, Stafford 1796-1835"
ark:/81055/vdc_100022589194.0x000002,"Theatre Royal, York 1782-1849"
ark:/81055/vdc_100022589196.0x000002,"Theatre Royal, York 1782-1849"
ark:/81055/vdc_100022589126.0x000002,"Theatre, Drayton 1795-1844"
ark:/81055/vdc_100022589130.0x000002,"Theatre, Drayton 1795-1844"
ark:/81055/vdc_100022589138.0x000002,"Theatre, King's Lynn 1764-1772"
ark:/81055/vdc_100022589166.0x000002,"Theatre, Portsmouth 1781-1782"
ark:/81055/vdc_100022589164.0x000002,"Theatre, Scarborough 1784-1846"
ark:/81055/vdc_100022589182.0x000002,Windsor Castle 1849-1861 (Royal Entertainment)
